TXNAME	TXSYMBOL
FBtr0070000	Nep3-RA
FBtr0307554	Nep3-RB
FBtr0307555	Nep3-RC
FBtr0070001	tRNA:Pro-CGG-1-1-RA
FBtr0070002	CG9570-RA
FBtr0070003	Or19b-RA
FBtr0301569	CG15322-RB
FBtr0343166	CG15322-RC
FBtr0070029	Or19a-RB
FBtr0301572	karr-RA
FBtr0070032	fd19B-RA
FBtr0070035	CG17003-RA
FBtr0070036	CG12655-RA
FBtr0307588	CR32821-RB
FBtr0070045	CG33217-RA
FBtr0070046	Vps11-RA
FBtr0299869	RpL10-RC
FBtr0299870	RpL10-RD
FBtr0333910	RpL10-RE
FBtr0070063	G9a-RA
FBtr0332992	G9a-RB
FBtr0070064	cin-RB
FBtr0070065	cin-RA
FBtr0070066	CG3777-RB
FBtr0070067	CG3777-RA
FBtr0070068	CG3777-RC
FBtr0342962	CG3777-RD
FBtr0344149	CG3777-RE
FBtr0070069	CG12470-RA
FBtr0070070	Or1a-RA
FBtr0070071	y-RA
FBtr0070072	ac-RA
FBtr0070073	sc-RA
FBtr0070074	l(1)sc-RA
FBtr0070075	ase-RA
FBtr0070076	CG13373-RA
FBtr0112947	CG13373-RB
FBtr0070077	CG32817-RA
FBtr0336919	CG32817-RC
FBtr0300328	CG32817-RB
FBtr0070078	CG3176-RA
FBtr0336920	CG3176-RB
FBtr0336921	CG3176-RC
FBtr0343501	CG3176-RD
FBtr0070079	CG3156-RA
FBtr0070080	CG17778-RA
FBtr0340145	CG17778-RB
FBtr0070088	arg-RA
FBtr0070092	CG17896-RB
FBtr0070093	CG17896-RA
FBtr0070094	CG18273-RA
FBtr0070097	CR18275-RA
FBtr0070099	Cyp4g1-RA
FBtr0070100	Pgcl-RA
FBtr0070101	CG32816-RB
FBtr0070102	CG32816-RA
FBtr0273442	CG32816-RC
FBtr0273443	CG32816-RD
FBtr0344150	CG32816-RE
FBtr0344151	CG32816-RF
FBtr0070103	CG13375-RA
FBtr0300326	CG13375-RB
FBtr0342963	CG13375-RC
FBtr0070107	CG3038-RB
FBtr0070108	CG3038-RA
FBtr0340207	CG3038-RC
FBtr0070109	Appl-RA
FBtr0307291	Appl-RB
FBtr0307292	Appl-RC
FBtr0307293	Appl-RD
FBtr0307294	Appl-RE
FBtr0307295	Appl-RF
FBtr0070115	CG13369-RA
FBtr0070116	CG17829-RA
FBtr0070117	CG17829-RC
FBtr0070118	CG17829-RB
FBtr0070119	Mybbp1A-RA
FBtr0070120	su(sable)-RA
FBtr0340081	su(sable)-RB
FBtr0340082	su(sable)-RC
FBtr0070121	CG13367-RA
FBtr0308651	Roc1a-RC
FBtr0070122	Roc1a-RA
FBtr0343564	Roc1a-RD
FBtr0070134	CG5254-RA
FBtr0343759	CG5254-RB
FBtr0070135	CG5273-RA
FBtr0070136	CG5273-RC
FBtr0070137	CG5273-RB
FBtr0070138	fz3-RA
FBtr0112928	fz3-RB
FBtr0345511	fz3-RC
FBtr0479789	CG16989-RC
FBtr0479790	CG16989-RD
FBtr0070142	CG14635-RA
FBtr0290198	CG13358-RD
FBtr0070145	CG13359-RA
FBtr0070146	Rbf-RA
FBtr0070147	CG13360-RA
FBtr0070148	RpL22-RA
FBtr0070149	CG13361-RA
FBtr0070150	CG13362-RA
FBtr0070151	Hmt4-20-RA
FBtr0308652	Hmt4-20-RB
FBtr0070155	RpL36-RA
FBtr0070156	RpL36-RB
FBtr0070157	RpL36-RD
FBtr0070158	RpL36-RC
FBtr0345321	RpL36-RE
FBtr0070159	CG13364-RA
FBtr0070160	CG13365-RA
FBtr0070161	spdi-RA
FBtr0110791	spdi-RB
FBtr0339430	spdi-RC
FBtr0339431	spdi-RD
FBtr0339432	spdi-RE
FBtr0339433	spdi-RF
FBtr0339434	spdi-RG
FBtr0110804	CG14634-RB
FBtr0070163	CG11664-RA
FBtr0070164	CG11663-RA
FBtr0310165	CG11663-RB
FBtr0070165	MED22-RA
FBtr0307181	CG32815-RC
FBtr0345512	CG32815-RD
FBtr0070167	TRAM-RB
FBtr0070168	TRAM-RA
FBtr0070169	TRAM-RC
FBtr0307182	TRAM-RD
FBtr0332589	TRAM-RE
FBtr0070170	mus81-RA
FBtr0070171	CG18823-RA
FBtr0070172	CG14631-RA
FBtr0070173	CG3021-RA
FBtr0070179	CG14629-RA
FBtr0070180	CG14628-RA
FBtr0070181	CG3655-RA
FBtr0113327	CG3655-RB
FBtr0331339	CG3655-RC
FBtr0331340	CG3655-RD
FBtr0070182	Cdc45-RA
FBtr0070183	CG11638-RA
FBtr0070184	TfIIA-S-2-RA
FBtr0070185	CG3690-RA
FBtr0342734	CG3690-RB
FBtr0070186	CG3699-RA
FBtr0070187	CG3703-RA
FBtr0070188	CG3704-RA
FBtr0070189	CG3706-RA
FBtr0331301	CG3708-RB
FBtr0070195	CG3713-RA
FBtr0310459	CG3713-RB
FBtr0336688	CG32814-RB
FBtr0070197	CG11378-RA
FBtr0310611	CG11378-RB
FBtr0345513	CG11378-RC
FBtr0070198	CG11379-RA
FBtr0342727	CG11379-RB
FBtr0070199	CG14627-RA
FBtr0310612	CG14627-RB
FBtr0070200	CG14626-RA
FBtr0070201	CG11380-RA
FBtr0345506	CG11380-RB
FBtr0070202	CG14625-RB
FBtr0070203	CG11381-RA
FBtr0070204	CG14624-RA
FBtr0070205	CG11382-RB
FBtr0342728	CG11382-RC
FBtr0070206	CG32812-RA
FBtr0342729	CG32812-RB
FBtr0070207	fs(1)N-RA
FBtr0070209	Naa30A-RA
FBtr0310619	Naa30A-RD
FBtr0070211	Tsp2A-RA
FBtr0303284	Tsp2A-RB
FBtr0070212	CG11417-RA
FBtr0070213	CG14770-RA
FBtr0070215	ssx-RB
FBtr0339772	ssx-RC
FBtr0339773	ssx-RD
FBtr0339774	ssx-RE
FBtr0070216	AMPKalpha-RA
FBtr0070217	AMPKalpha-RB
FBtr0070218	AMPKalpha-RC
FBtr0070219	CG32813-RD
FBtr0070222	CG32813-RB
FBtr0342735	CG32813-RL
FBtr0342736	CG32813-RM
FBtr0342737	CG32813-RN
FBtr0330317	CG32813-RH
FBtr0330318	CG32813-RI
FBtr0330319	CG32813-RJ
FBtr0330320	CG32813-RK
FBtr0479843	CG32813-RO
FBtr0070225	Rilpl-RA
FBtr0332291	Rilpl-RB
FBtr0332292	Rilpl-RC
FBtr0070230	Lrpprc2-RA
FBtr0070231	CG14785-RA
FBtr0070233	CG3719-RA
FBtr0070234	png-RA
FBtr0070235	CG12773-RA
FBtr0342738	CG12773-RC
FBtr0332287	CG12773-RB
FBtr0070236	MTPAP-RA
FBtr0070237	MTPAP-RB
FBtr0332288	MTPAP-RC
FBtr0070238	CG11409-RB
FBtr0342730	CG11409-RC
FBtr0070239	DAAM-RB
FBtr0070241	DAAM-RA
FBtr0342731	DAAM-RG
FBtr0310282	DAAM-RE
FBtr0310283	DAAM-RF
FBtr0303264	DAAM-RD
FBtr0302877	CG32811-RB
FBtr0070244	Atf3-RA
FBtr0330391	Atf3-RB
FBtr0345507	Atf3-RC
FBtr0070245	CG11403-RA
FBtr0070250	CG11398-RA
FBtr0345522	CG11398-RD
FBtr0070251	CG11384-RA
FBtr0070252	eIF4E7-RA
FBtr0070253	CG14777-RB
FBtr0339576	CG14777-RD
FBtr0339577	CG14777-RE
FBtr0300352	CG14777-RC
FBtr0345508	CG14777-RF
FBtr0070254	CG14778-RA
FBtr0070257	CG14780-RA
FBtr0070259	rush-RA
FBtr0339589	rush-RB
FBtr0070260	inc-RB
FBtr0339591	inc-RD
FBtr0339590	inc-RC
FBtr0070269	dor-RA
FBtr0070270	hfw-RA
FBtr0333115	hfw-RB
FBtr0273400	CG14797-RB
FBtr0308320	CG14797-RC
FBtr0070272	b6-RA
FBtr0070277	Scgdelta-RA
FBtr0302174	Scgdelta-RC
FBtr0302175	Scgdelta-RD
FBtr0345509	Scgdelta-RE
FBtr0070278	CG3795-RA
FBtr0344154	CG3795-RB
FBtr0070279	a6-RA
FBtr0330407	a6-RB
FBtr0333116	a6-RC
FBtr0070283	CG3740-RA
FBtr0070284	Mur2B-RA
FBtr0343517	Mur2B-RC
FBtr0303587	Mur2B-RB
FBtr0070285	CG14795-RB
FBtr0070289	sta-RA
FBtr0070290	sta-RB
FBtr0339593	sta-RE
FBtr0339594	sta-RF
FBtr0070292	snoRNA:M-RA
FBtr0070293	Rab27-RB
FBtr0070294	Rab27-RC
FBtr0070295	CG32808-RA
FBtr0070296	O-fut2-RA
FBtr0070298	CG14787-RA
FBtr0070301	CG32806-RA
FBtr0070308	MED18-RA
FBtr0114454	MED18-RC
FBtr0070310	CG14803-RA
FBtr0339600	CG14803-RB
FBtr0070311	Vps26-RA
FBtr0070312	CG14805-RA
FBtr0070313	Coa8-RA
FBtr0331384	Coa8-RB
FBtr0070314	mRpL16-RA
FBtr0332579	mRpL16-RB
